"Context","English","Gibberish","French","Spanish","German","Korean","BrazilianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","","","","","","","","","","","","","","",""
"","Natural Gas","","","","","","","","Природный газ","","","","","","","","","","","","","","",""
"","Natural Gas Tank","","","","","","","","Баллон с природным газом","","","","","","","","","","","","","","",""
"","Natural Gas which is pumped from deep within our planet to use as a cleaner fuel.","","","","","","","","Природный газ добытый из недр нашей планеты.Экологически чистое топливо.","","","","","","","","","","","","","","",""
"","Propane Tank","","","","","","","","Баллон для газа","","","","","","","","","","","","","","",""
"","Propane Tanks","","","","","","","","Баллоны для газа","","","","","","","","","","","","","","",""
"","An empty propane tank ready to hold natural gas.","","","","","","","","Пустой баллон для природного газа","","","","","","","","","","","","","","",""
"","Battery Pack","","","","","","","","Блок аккумуляторных батарей","","","","","","","","","","","","","","",""
"","A Bttery Pack to be used with Solar Panel by CTK","","","","","","","","Блок аккумуляторных батарей для работы солнечной панели","","","","","","","","","","","","","","",""
"","Solar Panel","","","","","","","","Солнечная панель","","","","","","","","","","","","","","",""
"","Solar Panel by EM","","","","","","","","Солнечная панель(наклонная)","","","","","","","","","","","","","","",""
"","Daylight Sensor (Wall)","","","","","","","","Настенный сенсор дневного света","","","","","","","","","","","","","","",""
"","Daylight Sensor - Wall","","","","","","","","Сенсор дневного света - Стена","","","","","","","","","","","","","","",""
"","Daylight Sensors","","","","","","","","Сенсоры дневного света","","","","","","","","","","","","","","",""
"","A sensor that detects when it's day.","","","","","","","","Сенсор, который определяет День/Ночь","","","","","","","","","","","","","","",""
"","Daylight Sensor (Floor)","","","","","","","","Напольный сенсор дневного света","","","","","","","","","","","","","","",""
"","Daylight Sensor - Floor","","","","","","","","Сенсор дневного света - Пол","","","","","","","","","","","","","","",""
"","Proximity Sensor (Wall)","","","","","","","","Настенный сенсор приближения","","","","","","","","","","","","","","",""
"","Proximity Sensor - Wall","","","","","","","","Сенсор приближения - Стена","","","","","","","","","","","","","","",""
"","Proximity Sensors","","","","","","","","Сенсоры приближения","","","","","","","","","","","","","","",""
"","A sensor that detects when players are close by.","","","","","","","","Сенсор который определяет, когда игрок находится рядом","","","","","","","","","","","","","","",""
"","Proximity Sensor (Ceiling)","","","","","","","","Потолочный сенсор приближения","","","","","","","","","","","","","","",""
"","Proximity Sensor - Ceiling","","","","","","","","Сенсор приближения - Потолок","","","","","","","","","","","","","","",""
"","Motion Sensor (Wall)","","","","","","","","Настенный сенсор движения","","","","","","","","","","","","","","",""
"","Motion Sensor - Wall","","","","","","","","Сенсор движения - Стена","","","","","","","","","","","","","","",""
"","Motion Sensors","","","","","","","","Сенсоры движения","","","","","","","","","","","","","","",""
"","A sensor that detects when players are in the room.","","","","","","","","Сенсор который определяет, когда игрок находится в комнате","","","","","","","","","","","","","","",""
"","Motion Sensor (Ceiling)","","","","","","","","Потолочный сенсор движения","","","","","","","","","","","","","","",""
"","Motion Sensor - Ceiling","","","","","","","","Сенсор движения - Потолок","","","","","","","","","","","","","","",""
"","Ore Washer","","","","","","","","Промывочная машина для руды","","","","","","","","","","","","","","",""
"","It washes ores!","","","","","","","","Промывает руды для уменьшения количества отходов при переплавке","","","","","","","","","","","","","","",""
"","Sift for Copper","","","","","","","","Промыть медную руду","","","","","","","","","","","","","","",""
"","Sift for Gold","","","","","","","","Промыть золотую руду","","","","","","","","","","","","","","",""
"","Sift for Iron","","","","","","","","Промыть железную руду","","","","","","","","","","","","","","",""
"","Slag","","","","","","","","Эко шлак","","","","","","","","","","","","","","",""
"","The bi-product of smelting washed ores.","","","","","","","","Экологически чистые отходы от плавки самородков,","","","","","","","","","","","","","","",""
"","Washed Copper Ore","","","","","","","","Медный самородок","","","","","","","","","","","","","","",""
"","Copper Ore that has had the tailings washed out.","","","","","","","","Очищенная медная руда без примесей","","","","","","","","","","","","","","",""
"","Washed Gold Ore","","","","","","","","Золотой самородок","","","","","","","","","","","","","","",""
"","Gold Ore that has had the tailings washed out.","","","","","","","","Очищенная золотая руда без примесей","","","","","","","","","","","","","","",""
"","Washed Iron Ore","","","","","","","","Железный самородок","","","","","","","","","","","","","","",""
"","Iron Ore that has had the tailings washed out.","","","","","","","","Очищенная железная руда без примесей","","","","","","","","","","","","","","",""
"","Shipping Container","","","","","","","","Малый грузовой контейнер","","","","","","","","","","","","","","",""
"","Shipping Container For Storage.","","","","","","","","Ваш личный закрытый склад","","","","","","","","","","","","","","",""
"","Steel Shipping Container","","","","","","","","Большой грузовой контейнер","","","","","","","","","","","","","","",""
"","Steel Shipping Container For Storage.","","","","","","","","Ваш личный закрытый склад","","","","","","","","","","","","","","",""
"","Copper Fragments","","","","","","","","Медные фрагменты","","","","","","","","","","","","","","",""
"","Copper Fragment","","","","","","","","Медный фрагмент","","","","","","","","","","","","","","",""
"","Shards Of Copper Produced From Tailings.","","","","","","","","Медные фрагменты после переработки шлака","","","","","","","","","","","","","","",""
"","Iron Fragments","","","","","","","","Железные фрагменты","","","","","","","","","","","","","","",""
"","Iron Fragment","","","","","","","","Железный фрагмент","","","","","","","","","","","","","","",""
"","Shards Of Iron Produced From Tailings.","","","","","","","","Железные фрагменты после переработки шлака","","","","","","","","","","","","","","",""
"","Mortaredstone Arch Door","","","","","","","","Арочная дверь из строительного камня","","","","","","","","","","","","","","",""
"","A Giant Door In The Arch.Can be locked for certain players.","","","","","","","","Арочная дверь. Можно заблокировать от определённых игроков.","","","","","","","","","","","","","","",""
"","Arch Door- Mortaredstone","","","","","","","","Арочная дверь - Строительный камень","","","","","","","","","","","","","","",""
"","Stone Arch Door","","","","","","","","Арочная дверь из камня","","","","","","","","","","","","","","",""
"","Arch Door - Stone","","","","","","","","Арочная дверь - Камень","","","","","","","","","","","","","","",""
"","Sandstone Arch Door","","","","","","","","Арочная дверь из песчаника","","","","","","","","","","","","","","",""
"","Arch Door- Sandstone","","","","","","","","Арочная дверь - Песчаника","","","","","","","","","","","","","","",""
"","Granite Arch Door","","","","","","","","Арочная дверь из гранита","","","","","","","","","","","","","","",""
"","Arch Door - Granite","","","","","","","","Арочная дверь - Гранит","","","","","","","","","","","","","","",""
"","Limestone Arch Door","","","","","","","","Арочная дверь из известняка","","","","","","","","","","","","","","",""
"","Arch Door - Limestone","","","","","","","","Арочная дверь - Известняк","","","","","","","","","","","","","","",""
"","Double Granite Arch","","","","","","","","Большая арка из гранита","","","","","","","","","","","","","","",""
"","A Archway Arch For Vehicle Access to WorkShops And Other Storage","","","","","","","","Арочный проём. Может использоваться для создания тоннелей или обозначения въезда","","","","","","","","","","","","","","",""
"","A Archway Arch For Vehicle Access to WorkShops And Other Storage or making tunnels","","","","","","","","Арочный проём. Может использоваться для создания тоннелей или обозначения въезда","","","","","","","","","","","","","","",""
"","Arch - Large Granite Arch","","","","","","","","Арка - Большая арка из гранита","","","","","","","","","","","","","","",""
